zipcode,state,city,lat,lng
98580 98387 98338,WA,South Creek,46.9994,-122.3921
98941 98068 98925,WA,Roslyn,47.2507,-121.0989
99032,WA,Sprague,47.3048,-117.9713
98332 98335,WA,Gig Harbor,47.3352,-122.5968
98223 98258 98270,WA,Lake Cassidy,48.0639,-122.092
98589,WA,Tenino,46.8537,-122.8607
98382,WA,Jamestown,48.1229,-123.0911
98290,WA,Three Lakes,47.942,-121.9924
99166,WA,Curlew Lake,48.7311,-118.6663
98290,WA,Chain Lake,47.9038,-121.9861
98846,WA,Pateros,48.0536,-119.8994
98643,WA,Rosburg,46.3076,-123.6344
98444 98445 98447 98448,WA,Parkland,47.1417,-122.4376
98230,WA,Birch Bay,48.923,-122.7543
98304,WA,Ashford,46.7537,-122.0113
98312,WA,Navy Yard City,47.5508,-122.6655
98841,WA,Omak,48.4228,-119.5159
99128,WA,Farmington,47.0887,-117.0464
98321,WA,Buckley,47.1615,-122.02
98296,WA,Cathcart,47.8525,-122.1058
98370,WA,Poulsbo,47.7417,-122.6408
98221,WA,Anacortes,48.4878,-122.6292
98332,WA,Maplewood,47.3715,-122.5689
99117,WA,Creston,47.7595,-118.52
99030,WA,Rockford,47.4513,-117.1307
98673,WA,Wishram,45.6599,-120.9698
98531,WA,Centralia,46.7225,-122.9695
98375 98374 98373,WA,South Hill,47.1203,-122.2848
98632,WA,Longview Heights,46.1796,-122.9577
98312,WA,Erlands Point-Kitsap Lake,47.5973,-122.7021
98601 98675,WA,Amboy,45.9122,-122.4795
99171,WA,St. John,47.0915,-117.5887
98617 98635,WA,Dallesport,45.6316,-121.1749
98388,WA,Ketron Island,47.1569,-122.6343
99326 99343,WA,Mesa,46.5737,-119.0013
98424,WA,Fife,47.2328,-122.3518
98837,WA,Moses Lake North,47.1949,-119.3186
99109,WA,Chewelah,48.2929,-117.7336
98547,WA,Grayland,46.8304,-124.0898
98934 98926,WA,Kittitas,46.9837,-120.4191
98282,WA,Camano,48.1865,-122.4708
98290 98272,WA,Monroe North,47.883,-121.9882
98648 98639,WA,North Bonneville,45.6425,-121.9689
98628,WA,Klickitat,45.818,-121.1626
99148,WA,Loon Lake,48.0685,-117.6298
99156,WA,Newport,48.1788,-117.0545
99021,WA,Mead,47.7795,-117.35
98815,WA,Cashmere,47.5175,-120.4671
98520,WA,Aberdeen Gardens,47.0587,-123.7791
98569,WA,Ocean Shores,46.9685,-124.1521
99343,WA,Basin City,46.5891,-119.1567
98396,WA,Wilkeson,47.1034,-122.0495
98604,WA,Meadow Glade,45.7524,-122.5614
98223,WA,Arlington Heights,48.2119,-122.063
99179,WA,Uniontown,46.5391,-117.0861
99158,WA,Oakesdale,47.1305,-117.2465
98626 98632,WA,West Side Highway,46.1841,-122.9178
98819,WA,Conconully,48.5571,-119.7513
99018,WA,Latah,47.2822,-117.1557
98541,WA,Elma,47.0055,-123.4112
98947,WA,Tieton,46.7026,-120.756
98366 98384 98386,WA,Southworth,47.5126,-122.5298
99121,WA,Danville,48.9938,-118.5068
98948,WA,Toppenish,46.3807,-120.3125
98382,WA,River Road,48.0677,-123.1276
98229,WA,Geneva,48.7461,-122.4064
98901 98903 98902 98908 98904 98907,WA,Yakima,46.5923,-120.5496
98936 98901,WA,Moxee,46.5638,-120.3968
98026 98020,WA,Edmonds,47.8114,-122.3533
98625,WA,Kalama,46.0171,-122.8393
99146,WA,Laurier,48.9974,-118.2248
98070 98013,WA,Vashon,47.4122,-122.4726
99208 99218 99251,WA,Country Homes,47.7478,-117.4197
98241,WA,Darrington,48.2546,-121.6029
99153,WA,Metaline Falls,48.8616,-117.3706
98635,WA,Lyle,45.6956,-121.2805
98837,WA,Cascade Valley,47.1371,-119.3272
99031,WA,Spangle,47.4299,-117.3812
98834,WA,Methow,48.1289,-120.0056
98858,WA,Waterville,47.648,-120.0707
98290,WA,Lake Roesiger,47.9839,-121.9129
98003 98354,WA,Milton,47.2522,-122.3154
98832,WA,Krupp,47.4105,-118.9886
98390 98372 98374,WA,Alderton,47.1718,-122.2192
98327,WA,DuPont,47.1079,-122.6496
98372 98371,WA,Edgewood,47.2309,-122.2832
98372,WA,North Puyallup,47.2015,-122.2742
98571,WA,Pacific Beach,47.215,-124.1967
98831,WA,Manson,47.8858,-120.1563
98812,WA,Brewster,48.1034,-119.7751
98604,WA,Battle Ground,45.7764,-122.5413
98155 98177 98133 98160,WA,Shoreline,47.7564,-122.3426
98520 98563 98537,WA,Cosmopolis,46.9541,-123.7725
99224 99001,WA,Airway Heights,47.6459,-117.5792
98935 98930,WA,Grandview,46.2431,-119.9084
99138,WA,Inchelium,48.3378,-118.2372
99133,WA,Grand Coulee,47.9391,-119.0031
98592,WA,Union,47.3475,-123.0952
99166,WA,Torboy,48.6772,-118.6689
98626 98632,WA,Kelso,46.1248,-122.8909
98595,WA,Westport,46.8919,-124.112
98520,WA,Junction City,46.9713,-123.7651
98292,WA,Lake Ketchum,48.282,-122.348
99301,WA,West Pasco,46.2497,-119.1684
98148 98198,WA,Des Moines,47.3914,-122.3154
99122,WA,Davenport,47.6551,-118.1519
